,production_line,number_of_components,components,times_component_used,connection_key_category,connection_key_numeric,connection_key_date
189,L0_S9_F179,15,T4,20,9179,9178,9180
190,L0_S9_F179,15,T16777248,18,9179,9178,9180
191,L0_S9_F179,15,T48,13,9179,9178,9180
192,L0_S9_F179,15,T32,9,9179,9178,9180
193,L0_S9_F179,15,T12582912,7,9179,9178,9180
194,L0_S9_F179,15,T128,7,9179,9178,9180
195,L0_S9_F179,15,T16,3,9179,9178,9180
196,L0_S9_F179,15,T16777472,1,9179,9178,9180
197,L0_S9_F179,15,T33554448,1,9179,9178,9180
198,L0_S9_F179,15,T16779428,1,9179,9178,9180
199,L0_S9_F181,1,T1,476,9181,9180,9182
200,L0_S9_F183,1,T1,80,9183,9182,9184
201,L0_S9_F184,15,T8,166,9184,9183,9185
202,L0_S9_F184,15,T48576,142,9184,9183,9185
203,L0_S9_F184,15,T512,37,9184,9183,9185
204,L0_S9_F184,15,T16777557,28,9184,9183,9185
205,L0_S9_F184,15,T16777232,23,9184,9183,9185
206,L0_S9_F184,15,T4,20,9184,9183,9185
207,L0_S9_F184,15,T16777248,18,9184,9183,9185
208,L0_S9_F184,15,T48,13,9184,9183,9185
209,L0_S9_F184,15,T32,9,9184,9183,9185
210,L0_S9_F184,15,T12582912,7,9184,9183,9185
211,L0_S9_F184,15,T128,7,9184,9183,9185
212,L0_S9_F184,15,T16,3,9184,9183,9185
213,L0_S9_F184,15,T16779428,1,9184,9183,9185
214,L0_S9_F184,15,T16777472,1,9184,9183,9185
215,L0_S9_F184,15,T33554448,1,9184,9183,9185
216,L0_S9_F186,1,T1,476,9186,9185,9187
217,L0_S9_F188,1,T1,80,9188,9187,9189
218,L0_S9_F189,15,T8,166,9189,9188,9190
219,L0_S9_F189,15,T48576,142,9189,9188,9190
220,L0_S9_F189,15,T512,37,9189,9188,9190
221,L0_S9_F189,15,T16777557,28,9189,9188,9190
222,L0_S9_F189,15,T16777232,23,9189,9188,9190
223,L0_S9_F189,15,T4,20,9189,9188,9190
224,L0_S9_F189,15,T16777248,18,9189,9188,9190
225,L0_S9_F189,15,T48,13,9189,9188,9190
226,L0_S9_F189,15,T32,9,9189,9188,9190
227,L0_S9_F189,15,T12582912,7,9189,9188,9190
228,L0_S9_F189,15,T128,7,9189,9188,9190
229,L0_S9_F189,15,T16,3,9189,9188,9190
230,L0_S9_F189,15,T16779428,1,9189,9188,9190
231,L0_S9_F189,15,T16777472,1,9189,9188,9190
232,L0_S9_F189,15,T33554448,1,9189,9188,9190
233,L0_S9_F191,1,T1,476,9191,9190,9192
234,L0_S9_F193,1,T1,80,9193,9192,9194
235,L0_S9_F194,15,T8,166,9194,9193,9195
236,L0_S9_F194,15,T48576,142,9194,9193,9195
237,L0_S9_F194,15,T512,37,9194,9193,9195
238,L0_S9_F194,15,T16777557,28,9194,9193,9195
239,L0_S9_F194,15,T16777232,23,9194,9193,9195
240,L0_S9_F194,15,T4,20,9194,9193,9195
241,L0_S9_F194,15,T16777248,18,9194,9193,9195
242,L0_S9_F194,15,T48,13,9194,9193,9195
243,L0_S9_F194,15,T32,9,9194,9193,9195
244,L0_S9_F194,15,T12582912,7,9194,9193,9195
245,L0_S9_F194,15,T128,7,9194,9193,9195
246,L0_S9_F194,15,T16,3,9194,9193,9195
247,L0_S9_F194,15,T16779428,1,9194,9193,9195
248,L0_S9_F194,15,T16777472,1,9194,9193,9195
249,L0_S9_F194,15,T33554448,1,9194,9193,9195
250,L0_S9_F196,1,T1,476,9196,9195,9197
251,L0_S9_F198,1,T1,80,9198,9197,9199
252,L0_S9_F199,15,T8,166,9199,9198,9200
253,L0_S9_F199,15,T48576,142,9199,9198,9200
254,L0_S9_F199,15,T512,37,9199,9198,9200
255,L0_S9_F199,15,T16777557,28,9199,9198,9200
256,L0_S9_F199,15,T16777232,23,9199,9198,9200
257,L0_S9_F199,15,T4,20,9199,9198,9200
258,L0_S9_F199,15,T16777248,18,9199,9198,9200
259,L0_S9_F199,15,T48,13,9199,9198,9200
260,L0_S9_F199,15,T32,9,9199,9198,9200
261,L0_S9_F199,15,T12582912,7,9199,9198,9200
262,L0_S9_F199,15,T128,7,9199,9198,9200
263,L0_S9_F199,15,T16,3,9199,9198,9200
264,L0_S9_F199,15,T16779428,1,9199,9198,9200
265,L0_S9_F199,15,T16777472,1,9199,9198,9200
266,L0_S9_F199,15,T33554448,1,9199,9198,9200
267,L0_S9_F201,1,T1,476,9201,9200,9202
268,L0_S9_F203,1,T1,80,9203,9202,9204
269,L0_S9_F204,15,T8,166,9204,9203,9205
270,L0_S9_F204,15,T48576,142,9204,9203,9205
271,L0_S9_F204,15,T512,37,9204,9203,9205
272,L0_S9_F204,15,T16777557,28,9204,9203,9205
273,L0_S9_F204,15,T16777232,23,9204,9203,9205
274,L0_S9_F204,15,T4,20,9204,9203,9205
275,L0_S9_F204,15,T16777248,18,9204,9203,9205
276,L0_S9_F204,15,T48,13,9204,9203,9205
277,L0_S9_F204,15,T32,9,9204,9203,9205
278,L0_S9_F204,15,T12582912,7,9204,9203,9205
279,L0_S9_F204,15,T128,7,9204,9203,9205
280,L0_S9_F204,15,T16,3,9204,9203,9205
281,L0_S9_F204,15,T16777472,1,9204,9203,9205
282,L0_S9_F204,15,T16779428,1,9204,9203,9205
283,L0_S9_F204,15,T33554448,1,9204,9203,9205
284,L0_S9_F206,1,T1,476,9206,9205,9207
285,L0_S9_F208,1,T1,80,9208,9207,9209
286,L0_S9_F209,15,T8,166,9209,9208,9210
287,L0_S9_F209,15,T48576,142,9209,9208,9210
288,L0_S9_F209,15,T512,37,9209,9208,9210
289,L0_S9_F209,15,T16777557,28,9209,9208,9210
290,L0_S9_F209,15,T16777232,23,9209,9208,9210
291,L0_S9_F209,15,T4,20,9209,9208,9210
292,L0_S9_F209,15,T16777248,18,9209,9208,9210
293,L0_S9_F209,15,T48,13,9209,9208,9210
294,L0_S9_F209,15,T32,9,9209,9208,9210
295,L0_S9_F209,15,T128,7,9209,9208,9210
296,L0_S9_F209,15,T12582912,7,9209,9208,9210
297,L0_S9_F209,15,T16,3,9209,9208,9210
298,L0_S9_F209,15,T16779428,1,9209,9208,9210
299,L0_S9_F209,15,T16777472,1,9209,9208,9210
300,L0_S9_F209,15,T33554448,1,9209,9208,9210
301,L0_S9_F211,1,T1,476,9211,9210,9212
302,L0_S9_F213,1,T1,80,9213,9212,9214
303,L0_S9_F214,15,T8,166,9214,9213,9215
304,L0_S9_F214,15,T48576,142,9214,9213,9215
305,L0_S9_F214,15,T512,37,9214,9213,9215
306,L0_S9_F214,15,T16777557,28,9214,9213,9215
307,L0_S9_F214,15,T16777232,23,9214,9213,9215
308,L0_S9_F214,15,T4,20,9214,9213,9215
309,L0_S9_F214,15,T16777248,18,9214,9213,9215
310,L0_S9_F214,15,T48,13,9214,9213,9215
311,L0_S9_F214,15,T32,9,9214,9213,9215
312,L0_S9_F214,15,T12582912,7,9214,9213,9215
313,L0_S9_F214,15,T128,7,9214,9213,9215
314,L0_S9_F214,15,T16,3,9214,9213,9215
315,L0_S9_F214,15,T16779428,1,9214,9213,9215
316,L0_S9_F214,15,T16777472,1,9214,9213,9215
317,L0_S9_F214,15,T33554448,1,9214,9213,9215
318,L0_S10_F215,1,T1,503,10215,10214,10216
319,L0_S10_F217,1,T1,302,10217,10216,10218
320,L0_S10_F218,22,T16777232,99,10218,10217,10219
321,L0_S10_F218,22,T32,68,10218,10217,10219
322,L0_S10_F218,22,T16777248,66,10218,10217,10219
323,L0_S10_F218,22,T48,59,10218,10217,10219
324,L0_S10_F218,22,T48576,54,10218,10217,10219
325,L0_S10_F218,22,T8,41,10218,10217,10219
326,L0_S10_F218,22,T512,27,10218,10217,10219
327,L0_S10_F218,22,T4,17,10218,10217,10219
328,L0_S10_F218,22,T16777557,14,10218,10217,10219
329,L0_S10_F218,22,T16,9,10218,10217,10219
330,L0_S10_F218,22,T33554448,8,10218,10217,10219
331,L0_S10_F218,22,T52,7,10218,10217,10219
332,L0_S10_F218,22,T6553,6,10218,10217,10219
333,L0_S10_F218,22,T12582912,6,10218,10217,10219
334,L0_S10_F218,22,T56,6,10218,10217,10219
335,L0_S10_F218,22,T1372,5,10218,10217,10219
336,L0_S10_F218,22,T96,4,10218,10217,10219
337,L0_S10_F218,22,T18436,3,10218,10217,10219
338,L0_S10_F218,22,T65536,1,10218,10217,10219
339,L0_S10_F218,22,T178258,1,10218,10217,10219
340,L0_S10_F218,22,T589824,1,10218,10217,10219
341,L0_S10_F218,22,T33554944,1,10218,10217,10219
342,L0_S10_F220,1,T1,486,10220,10219,10221
343,L0_S10_F222,1,T1,294,10222,10221,10223
344,L0_S10_F223,17,T16777232,99,10223,10222,10224
345,L0_S10_F223,17,T32,68,10223,10222,10224
346,L0_S10_F223,17,T16777248,66,10223,10222,10224
347,L0_S10_F223,17,T48,59,10223,10222,10224
348,L0_S10_F223,17,T48576,54,10223,10222,10224
349,L0_S10_F223,17,T8,41,10223,10222,10224
350,L0_S10_F223,17,T512,27,10223,10222,10224
351,L0_S10_F223,17,T4,17,10223,10222,10224
352,L0_S10_F223,17,T16777557,14,10223,10222,10224
353,L0_S10_F223,17,T16,9,10223,10222,10224
354,L0_S10_F223,17,T33554448,8,10223,10222,10224
355,L0_S10_F223,17,T52,7,10223,10222,10224
356,L0_S10_F223,17,T12582912,6,10223,10222,10224
357,L0_S10_F223,17,T56,6,10223,10222,10224
358,L0_S10_F223,17,T18436,3,10223,10222,10224
359,L0_S10_F223,17,T178258,1,10223,10222,10224
360,L0_S10_F223,17,T33554944,1,10223,10222,10224
361,L0_S10_F225,1,T1,503,10225,10224,10226
362,L0_S10_F227,1,T1,302,10227,10226,10228
363,L0_S10_F228,22,T16777232,99,10228,10227,10229
364,L0_S10_F228,22,T32,68,10228,10227,10229
365,L0_S10_F228,22,T16777248,66,10228,10227,10229
366,L0_S10_F228,22,T48,59,10228,10227,10229
367,L0_S10_F228,22,T48576,54,10228,10227,10229
368,L0_S10_F228,22,T8,41,10228,10227,10229
369,L0_S10_F228,22,T512,27,10228,10227,10229
370,L0_S10_F228,22,T4,17,10228,10227,10229
371,L0_S10_F228,22,T16777557,14,10228,10227,10229
372,L0_S10_F228,22,T16,9,10228,10227,10229
373,L0_S10_F228,22,T33554448,8,10228,10227,10229
374,L0_S10_F228,22,T52,7,10228,10227,10229
375,L0_S10_F228,22,T6553,6,10228,10227,10229
376,L0_S10_F228,22,T56,6,10228,10227,10229
377,L0_S10_F228,22,T12582912,6,10228,10227,10229
378,L0_S10_F228,22,T1372,5,10228,10227,10229
379,L0_S10_F228,22,T96,4,10228,10227,10229
380,L0_S10_F228,22,T18436,3,10228,10227,10229
381,L0_S10_F228,22,T65536,1,10228,10227,10229
382,L0_S10_F228,22,T178258,1,10228,10227,10229
383,L0_S10_F228,22,T33554944,1,10228,10227,10229
384,L0_S10_F228,22,T589824,1,10228,10227,10229
385,L0_S10_F230,1,T1,490,10230,10229,10231
386,L0_S10_F232,1,T1,294,10232,10231,10233
387,L0_S10_F233,18,T16777232,99,10233,10232,10234
388,L0_S10_F233,18,T32,68,10233,10232,10234
389,L0_S10_F233,18,T16777248,66,10233,10232,10234
390,L0_S10_F233,18,T48,59,10233,10232,10234
391,L0_S10_F233,18,T48576,54,10233,10232,10234
392,L0_S10_F233,18,T8,41,10233,10232,10234
393,L0_S10_F233,18,T512,27,10233,10232,10234
394,L0_S10_F233,18,T4,17,10233,10232,10234
395,L0_S10_F233,18,T16777557,14,10233,10232,10234
396,L0_S10_F233,18,T16,9,10233,10232,10234
397,L0_S10_F233,18,T33554448,8,10233,10232,10234
398,L0_S10_F233,18,T52,7,10233,10232,10234
399,L0_S10_F233,18,T56,6,10233,10232,10234
400,L0_S10_F233,18,T12582912,6,10233,10232,10234
401,L0_S10_F233,18,T96,4,10233,10232,10234
402,L0_S10_F233,18,T18436,3,10233,10232,10234
403,L0_S10_F233,18,T178258,1,10233,10232,10234
404,L0_S10_F233,18,T33554944,1,10233,10232,10234
405,L0_S10_F235,1,T1,503,10235,10234,10236
406,L0_S10_F237,1,T1,302,10237,10236,10238
407,L0_S10_F238,22,T16777232,99,10238,10237,10239
408,L0_S10_F238,22,T32,68,10238,10237,10239
409,L0_S10_F238,22,T16777248,66,10238,10237,10239
410,L0_S10_F238,22,T48,59,10238,10237,10239
411,L0_S10_F238,22,T48576,54,10238,10237,10239
412,L0_S10_F238,22,T8,41,10238,10237,10239
413,L0_S10_F238,22,T512,27,10238,10237,10239
414,L0_S10_F238,22,T4,17,10238,10237,10239
415,L0_S10_F238,22,T16777557,14,10238,10237,10239
416,L0_S10_F238,22,T16,9,10238,10237,10239
417,L0_S10_F238,22,T33554448,8,10238,10237,10239
418,L0_S10_F238,22,T52,7,10238,10237,10239
419,L0_S10_F238,22,T56,6,10238,10237,10239
420,L0_S10_F238,22,T12582912,6,10238,10237,10239
421,L0_S10_F238,22,T6553,6,10238,10237,10239
422,L0_S10_F238,22,T1372,5,10238,10237,10239
423,L0_S10_F238,22,T96,4,10238,10237,10239
424,L0_S10_F238,22,T18436,3,10238,10237,10239
425,L0_S10_F238,22,T65536,1,10238,10237,10239
426,L0_S10_F238,22,T178258,1,10238,10237,10239
427,L0_S10_F238,22,T33554944,1,10238,10237,10239
428,L0_S10_F238,22,T589824,1,10238,10237,10239
429,L0_S10_F240,1,T1,486,10240,10239,10241
430,L0_S10_F242,1,T1,294,10242,10241,10243
431,L0_S10_F243,17,T16777232,99,10243,10242,10244
432,L0_S10_F243,17,T32,68,10243,10242,10244
433,L0_S10_F243,17,T16777248,66,10243,10242,10244
434,L0_S10_F243,17,T48,59,10243,10242,10244
435,L0_S10_F243,17,T48576,54,10243,10242,10244
436,L0_S10_F243,17,T8,41,10243,10242,10244
437,L0_S10_F243,17,T512,27,10243,10242,10244
438,L0_S10_F243,17,T4,17,10243,10242,10244
439,L0_S10_F243,17,T16777557,14,10243,10242,10244
440,L0_S10_F243,17,T16,9,10243,10242,10244
441,L0_S10_F243,17,T33554448,8,10243,10242,10244
442,L0_S10_F243,17,T52,7,10243,10242,10244
443,L0_S10_F243,17,T56,6,10243,10242,10244
444,L0_S10_F243,17,T12582912,6,10243,10242,10244
445,L0_S10_F243,17,T18436,3,10243,10242,10244
446,L0_S10_F243,17,T33554944,1,10243,10242,10244
447,L0_S10_F243,17,T178258,1,10243,10242,10244
448,L0_S10_F245,1,T1,486,10245,10244,10246
449,L0_S10_F247,1,T1,294,10247,10246,10248
450,L0_S10_F248,17,T16777232,99,10248,10247,10249
451,L0_S10_F248,17,T32,68,10248,10247,10249
452,L0_S10_F248,17,T16777248,66,10248,10247,10249
453,L0_S10_F248,17,T48,59,10248,10247,10249
454,L0_S10_F248,17,T48576,54,10248,10247,10249
455,L0_S10_F248,17,T8,41,10248,10247,10249
456,L0_S10_F248,17,T512,27,10248,10247,10249
457,L0_S10_F248,17,T4,17,10248,10247,10249
458,L0_S10_F248,17,T16777557,14,10248,10247,10249
459,L0_S10_F248,17,T16,9,10248,10247,10249
460,L0_S10_F248,17,T33554448,8,10248,10247,10249
461,L0_S10_F248,17,T52,7,10248,10247,10249
462,L0_S10_F248,17,T56,6,10248,10247,10249
463,L0_S10_F248,17,T12582912,6,10248,10247,10249
464,L0_S10_F248,17,T18436,3,10248,10247,10249
465,L0_S10_F248,17,T178258,1,10248,10247,10249
466,L0_S10_F248,17,T33554944,1,10248,10247,10249
467,L0_S10_F250,1,T1,486,10250,10249,10251
468,L0_S10_F252,1,T1,294,10252,10251,10253
469,L0_S10_F253,17,T16777232,99,10253,10252,10254
470,L0_S10_F253,17,T32,68,10253,10252,10254
471,L0_S10_F253,17,T16777248,66,10253,10252,10254
472,L0_S10_F253,17,T48,59,10253,10252,10254
473,L0_S10_F253,17,T48576,54,10253,10252,10254
474,L0_S10_F253,17,T8,41,10253,10252,10254
475,L0_S10_F253,17,T512,27,10253,10252,10254
476,L0_S10_F253,17,T4,17,10253,10252,10254
477,L0_S10_F253,17,T16777557,14,10253,10252,10254
478,L0_S10_F253,17,T16,9,10253,10252,10254
479,L0_S10_F253,17,T33554448,8,10253,10252,10254
480,L0_S10_F253,17,T52,7,10253,10252,10254
481,L0_S10_F253,17,T56,6,10253,10252,10254
482,L0_S10_F253,17,T12582912,6,10253,10252,10254
483,L0_S10_F253,17,T18436,3,10253,10252,10254
484,L0_S10_F253,17,T178258,1,10253,10252,10254
485,L0_S10_F253,17,T33554944,1,10253,10252,10254
486,L0_S10_F255,1,T1,486,10255,10254,10256
487,L0_S10_F257,1,T1,294,10257,10256,10258
488,L0_S10_F258,17,T16777232,99,10258,10257,10259
489,L0_S10_F258,17,T32,68,10258,10257,10259
490,L0_S10_F258,17,T16777248,66,10258,10257,10259
491,L0_S10_F258,17,T48,59,10258,10257,10259
492,L0_S10_F258,17,T48576,54,10258,10257,10259
493,L0_S10_F258,17,T8,41,10258,10257,10259
494,L0_S10_F258,17,T512,27,10258,10257,10259
495,L0_S10_F258,17,T4,17,10258,10257,10259
496,L0_S10_F258,17,T16777557,14,10258,10257,10259
497,L0_S10_F258,17,T16,9,10258,10257,10259
498,L0_S10_F258,17,T33554448,8,10258,10257,10259
499,L0_S10_F258,17,T52,7,10258,10257,10259
500,L0_S10_F258,17,T56,6,10258,10257,10259
501,L0_S10_F258,17,T12582912,6,10258,10257,10259
502,L0_S10_F258,17,T18436,3,10258,10257,10259
503,L0_S10_F258,17,T178258,1,10258,10257,10259
504,L0_S10_F258,17,T33554944,1,10258,10257,10259
505,L0_S10_F260,1,T1,486,10260,10259,10261
506,L0_S10_F262,1,T1,294,10262,10261,10263
507,L0_S10_F263,17,T16777232,99,10263,10262,10264
508,L0_S10_F263,17,T32,68,10263,10262,10264
